Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS9X5X.188,HSS9X5X3/16,F,17.0800,4.6700,-,-,9.0000,8.4800,-,-,-,5.0000,4.4800,-,-,-,-,-,-,-,0.1875,0.1740,-,-,-,-,-,-,-,-,-,-,25.7000,-,48.7000,-,51.1000,13.8000,11.4000,3.3100,20.7000,9.2500,8.2800,2.1000,-,-,-,46.9000,-,14.8000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS9X3X.500,HSS9X3X1/2,F,35.2400,9.7400,-,-,9.0000,7.6000,-,-,-,3.0000,1.6000,-,-,-,-,-,-,-,0.5000,0.4650,-,-,-,-,-,-,-,-,-,-,3.4500,-,16.4000,-,80.8000,24.6000,18.0000,2.8800,13.2000,10.8000,8.8100,1.1700,-,-,-,40.0000,-,19.7000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS9X3X.375,HSS9X3X3/8,F,27.4800,7.5800,-,-,9.0000,7.9500,-,-,-,3.0000,1.9500,-,-,-,-,-,-,-,0.3750,0.3490,-,-,-,-,-,-,-,-,-,-,5.6000,-,22.8000,-,66.3000,19.7000,14.7000,2.9600,11.2000,8.8000,7.4500,1.2100,-,-,-,33.1000,-,15.8000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS9X3X.313,HSS9X3X5/16,F,23.3400,6.4300,-,-,9.0000,8.1300,-,-,-,3.0000,2.1300,-,-,-,-,-,-,-,0.3125,0.2910,-,-,-,-,-,-,-,-,-,-,7.3100,-,27.9000,-,57.7000,16.9000,12.8000,3.0000,9.8800,7.6300,6.5900,1.2400,-,-,-,28.9000,-,13.6000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS9X3X.250,HSS9X3X1/4,F,19.0200,5.2400,-,-,9.0000,8.3000,-,-,-,3.0000,2.3000,-,-,-,-,-,-,-,0.2500,0.2330,-,-,-,-,-,-,-,-,-,-,9.8800,-,35.6000,-,48.2000,14.0000,10.7000,3.0400,8.3800,6.3500,5.5900,1.2700,-,-,-,24.2000,-,11.3000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS9X3X.188,HSS9X3X3/16,F,14.5300,3.9800,-,-,9.0000,8.4800,-,-,-,3.0000,2.4800,-,-,-,-,-,-,-,0.1875,0.1740,-,-,-,-,-,-,-,-,-,-,14.2000,-,48.7000,-,37.6000,10.8000,8.3500,3.0700,6.6400,4.9200,4.4200,1.2900,-,-,-,18.9000,-,8.6600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS8X8X.625,HSS8X8X5/8,F,59.3200,16.4000,-,-,8.0000,6.2600,-,-,-,8.0000,6.2600,-,-,-,-,-,-,-,0.6250,0.5810,-,-,-,-,-,-,-,-,-,-,10.8000,-,10.8000,-,146.0000,44.7000,36.5000,2.9900,146.0000,44.7000,36.5000,2.9900,-,-,-,244.0000,-,63.2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS8X8X.500,HSS8X8X1/2,F,48.8500,13.5000,-,-,8.0000,6.6000,-,-,-,8.0000,6.6000,-,-,-,-,-,-,-,0.5000,0.4650,-,-,-,-,-,-,-,-,-,-,14.2000,-,14.2000,-,125.0000,37.5000,31.2000,3.0400,125.0000,37.5000,31.2000,3.0400,-,-,-,204.0000,-,52.4000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS8X8X.375,HSS8X8X3/8,F,37.6900,10.4000,-,-,8.0000,6.9500,-,-,-,8.0000,6.9500,-,-,-,-,-,-,-,0.3750,0.3490,-,-,-,-,-,-,-,-,-,-,19.9000,-,19.9000,-,100.0000,29.4000,24.9000,3.1000,100.0000,29.4000,24.9000,3.1000,-,-,-,160.0000,-,40.7000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HSS,HSS8X8X.313,HSS8X8X5/16,F,31.8400,8.7600,-,-,8.0000,7.1300,-,-,-,8.0000,7.1300,-,-,-,-,-,-,-,0.3125,0.2910,-,-,-,-,-,-,-,-,-,-,24.5000,-,24.5000,-,85.6000,25.1000,21.4000,3.1300,85.6000,25.1000,21.4000,3.1300,-,-,-,136.0000,-,34.5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
